Contig A,Contig B,Interaction Score
MBO5520212.1,MBR1821073.1,1.0
MBP1530666.1,MBR1821073.1,0.9552150451947814
MBR1821073.1,AAL09332.1,0.917488217481387
MBR2829755.1,MBR1821073.1,0.9061041415268323
MBR1821073.1,WP_074650843.1,0.8765738485007172
MBQ9824173.1,MBR1821073.1,0.8756175861205345
MBQ9824173.1,AAL09332.1,0.8392340793697775
MBR1821073.1,MBQ6564140.1,0.8389836296987773
MBO5520212.1,MBQ9824173.1,0.8353634935452289
MBO5520212.1,AAL09332.1,0.8351585801780469
MBO5520212.1,MBP1530666.1,0.826028551262494
MBD5156460.1,MBR1821073.1,0.7933334851210126
MBR1821073.1,EAO76197.1,0.7924455271965574
MBR1513057.1,MBR1821073.1,0.7778511418228181
MBR6907536.1,MBR1821073.1,0.7774640832403633
MBR3404888.1,MBR1821073.1,0.7767355023792718
ASV60182.1,MBR1821073.1,0.7705653332119031
MBR1821073.1,MBR3007466.1,0.7679925320461738
MBO5520212.1,WP_074650843.1,0.7556977300152546
MBQ9824173.1,WP_074650843.1,0.7523052753807973
MBP1530666.1,WP_074650843.1,0.7460668017577013
WP_074650843.1,AAL09332.1,0.7370278454497848
MBO5544287.1,MBR1821073.1,0.7305844584595068
MBQ9048695.1,MBR1821073.1,0.7296281960793243
MBR1821073.1,CDW77704.1,0.729195601193051
MBP1530666.1,AAL09332.1,0.720224949340862
MBQ9824173.1,MBD5156460.1,0.7181985838209513
MBD5156460.1,AAL09332.1,0.7142369253887662
MBR5910679.1,MBR1821073.1,0.7132806630085836
MBQ9824173.1,EAO76197.1,0.7110493841214908
MBR2829755.1,MBO5520212.1,0.7091368593611256
MBR2596575.1,MBR1821073.1,0.7082261332847613
MBO5520212.1,MBQ6564140.1,0.7070877256893058
MBR1821073.1,MBQ2506276.1,0.7064274492839415
AAL09332.1,MBQ6564140.1,0.7062453040686687
MBR1821073.1,QNM08892.1,0.6995286992554814
MBO6242946.1,MBR1821073.1,0.6980715375332984
AAL09332.1,EAO76197.1,0.6941781835568406
MBQ9824173.1,MBQ6564140.1,0.6938138931262949
MBR1821073.1,MBQ4399209.1,0.690717424466656
MBP1530666.1,MBQ6564140.1,0.6881446233009265
MBP1530666.1,MBQ9824173.1,0.6878486373261081
MBO5520212.1,MBR3007466.1,0.6864597800596525
MBR2829755.1,MBP1530666.1,0.6856628947428337
MBR1821073.1,MBQ6173334.1,0.6833405432481046
MBQ9048695.1,AAL09332.1,0.6819516859816488
MBO5605271.1,MBR1821073.1,0.6768743881059174
MBR1821073.1,MBQ7535020.1,0.6755538352951891
MBO6269818.1,MBR1821073.1,0.6733680927119146
MBQ9824173.1,MBR1513057.1,0.6717060176225494
MBQ9824173.1,MBQ9048695.1,0.6696341157988207
MBP1530666.1,MBD5156460.1,0.6696341157988206
MBR6907536.1,MBO5520212.1,0.664943876505544
MBO5520212.1,MBD5156460.1,0.6637371644543612
MBR1513057.1,AAL09332.1,0.6609366817695408
MBR1821073.1,MBO7618333.1,0.6573165456159923
WP_074650843.1,MBQ6564140.1,0.6529450604494433
ASV60182.1,MBQ9824173.1,0.6526263063227158
MBP1530666.1,MBR3404888.1,0.6521937114364427
MBR2829755.1,WP_074650843.1,0.6520115662211697
MBQ6036876.1,MBR1821073.1,0.6508048541699869
MBO5520212.1,EAO76197.1,0.6495526058149859
MBR1821073.1,MBP3802246.1,0.6450900480408005
MBR4710820.1,MBR1821073.1,0.6424489424193437
MBR1821073.1,XP_016974417.1,0.6418114341658887
MBR1821073.1,MBQ6680592.1,0.6411739259124336
MBQ9664510.1,MBR1821073.1,0.6406957947223424
MBO5520212.1,MBR1513057.1,0.6367113681382481
AAL09332.1,MBR3007466.1,0.6345711618587919
MBP1530666.1,MBR3007466.1,0.6328863186175178
MBQ7989367.1,MBR1821073.1,0.632294346667881
MBD5156460.1,WP_074650843.1,0.6286286742105143
MBR6907536.1,MBP1530666.1,0.6271487443364222
ASV60182.1,MBO5520212.1,0.6269210628173311
MBO5520212.1,MBO5544287.1,0.6249857699050567
MBQ9824173.1,MBR3007466.1,0.6236196807905102
MBR1513057.1,WP_074650843.1,0.6235513763347829
KAG6611985.1,MBR1821073.1,0.6235286081828737
MBR2829755.1,MBR6907536.1,0.6227772591698731
MBQ9824173.1,QNM08892.1,0.6226406502584184
MBR1821073.1,CDW80025.1,0.6216160834225085
MBP1530666.1,EAO76197.1,0.6212062566881446
MBO5520212.1,MBQ9048695.1,0.6207964299537806
MBP1530666.1,MBQ9048695.1,0.6194075726873249
MBO5520212.1,MBR5910679.1,0.6181553243323239
MBR6907536.1,WP_074650843.1,0.6175861205345962
MBR6907536.1,AAL09332.1,0.6172218301040503
MBR2529166.1,MBR1821073.1,0.6166070900025045
MBQ9824173.1,MBR5910679.1,0.6163794084834133
MBP1530666.1,CDW77704.1,0.6148767104574121
ASV60182.1,AAL09332.1,0.6142847385077753
MBQ2588515.1,MBR1821073.1,0.6131007946085016
MBR5910679.1,AAL09332.1,0.6119851551649552
MBQ8928992.1,MBR1821073.1,0.6113476469115002
MBR6907536.1,MBQ9824173.1,0.6103913845313175
WP_074650843.1,EAO76197.1,0.6100498622526809
ASV60182.1,MBP1530666.1,0.6100043259488627
